Golfer,Hometown,State/Region,Country,Websites,Elevation,JanTemp,FebTemp,MarTemp,AprTemp,MayTemp,JunTemp,JulTemp,AugTemp,SepTemp,OctTemp,NovTemp,DecTemp,JanRain,FebRain,MarRain,AprRain,MayRain,JunRain,JulRain,AugRain,SepRain,OctRain,NovRain,DecRain,JanHumid,FebHumid,MarHumid,AprHumid,MayHumid,JunHumid,JulHumid,AugHumid,SepHumid,OctHumid,NovHumid,DecHumid,JanWind,FebWind,MarWind,AprWind,MayWind,JunWind,JulWind,AugWind,SepWind,OctWind,NovWind,DecWind
Keith Mitchell,Chattanooga,Tennessee,USA,https://www.weatherbase.com/weather/weather.php3?s=42327&cityname=Chattanooga-Tennessee-United-States-of-America,204.00,41.00,44.00,52.00,61.00,69.00,77.00,80.00,79.00,73.00,62.00,51.00,43.00,4.90,4.80,5.00,4.00,4.10,4.10,4.90,3.50,4.00,3.30,5.00,5.00,82.00,82.00,82.00,83.00,89.00,89.00,90.00,92.00,92.00,91.00,86.00,83.00,5.90,6.20,6.60,6.20,5.50,4.90,4.40,4.30,4.20,4.50,4.70,5.60
Nick Watney,Wester,California,USA,https://www.weatherbase.com/weather/weather.php3?s=38427&cityname=Sacramento-California-United-States-of-America,5.00,46.00,51.00,55.00,59.00,66.00,71.00,75.00,74.00,71.00,64.00,53.00,46.00,3.60,3.50,2.80,1.20,0.70,0.20,0.00,0.10,0.30,1.00,2.10,3.30,83.90,78.70,72.00,65.50,61.40,56.70,56.70,56.30,56.70,62.20,75.10,82.50,5.70,6.40,7.00,7.60,8.00,8.30,7.90,7.40,6.30,5.40,5.00,5.70
Peter Malnati,New Castle,Indiana,USA,https://www.weatherbase.com/weather/weather.php3?s=85357&cityname=New-Castle-Indiana-United-States-of-America,333.00,29.00,32.00,37.00,50.00,61.00,70.00,74.00,72.00,64.00,54.00,39.00,29.00,3.30,2.80,3.00,4.30,4.30,4.90,3.60,2.90,2.60,2.30,2.90,2.50,75.80,71.30,67.20,64.90,69.10,70.80,71.80,72.20,69.40,69.40,71.90,76.10,10.90,10.70,11.20,11.10,9.50,8.30,7.60,7.30,7.90,8.90,10.20,10.50
Richie Ramsay,Aberdeen,,England,https://www.weatherbase.com/weather/weather.php3?s=19030&cityname=Aberdeen-Scotland-United-Kingdom,64.00,38.00,39.00,42.00,45.00,50.00,54.00,58.00,58.00,54.00,49.00,42.00,39.00,2.50,2.00,2.10,1.90,2.10,2.00,2.80,2.80,2.50,3.00,3.10,2.90,81.00,79.00,78.00,78.00,77.00,78.00,79.00,80.00,81.00,83.00,83.00,83.00,11.70,11.50,11.60,10.20,9.60,9.20,8.50,8.60,9.60,10.60,10.70,10.40
William McGirt,Lumberton,North Carolina,USA,https://www.weatherbase.com/weather/weather.php3?s=38637&cityname=Lumberton-North-Carolina-United-States-of-America,38.00,43.00,47.00,54.00,62.00,70.00,78.00,81.00,79.00,73.00,63.00,54.00,46.00,3.00,2.90,3.30,2.80,3.10,4.30,5.50,5.50,4.80,2.60,2.90,2.90,74.00,69.00,67.00,65.00,69.00,73.00,75.00,76.00,76.00,75.00,72.00,74.00,6.90,7.30,7.90,7.80,6.90,6.20,5.80,5.50,6.00,5.80,6.10,6.40
Jason Day,Rockhampton,Queensland,Australia,https://www.weatherbase.com/weather/weather.php3?s=47349&cityname=Rockhampton-Queensland-Australia,10.00,81.00,80.00,78.00,74.00,68.00,63.00,61.00,64.00,69.00,74.00,78.00,80.00,5.70,6.00,4.40,1.80,2.10,1.40,1.30,1.00,0.09,1.90,2.70,4.30,88.00,89.00,88.00,88.00,88.00,87.00,87.00,87.00,88.00,88.00,86.00,87.00,9.00,9.00,9.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00
Tony Finau,Salt Lake City,Utah,USA,https://www.weatherbase.com/weather/weather.php3?s=27527&cityname=Salt-Lake-City-Utah-United-States-of-America,1286.00,30.00,34.00,44.00,51.00,60.00,70.00,79.00,77.00,66.00,53.00,40.00,30.00,1.30,1.30,1.80,2.00,2.00,1.00,0.06,0.07,1.20,1.50,1.50,1.40,74.70,70.10,57.40,52.80,47.80,40.40,33.60,36.00,43.90,55.20,66.30,73.90,7.00,7.70,9.10,9.70,9.30,9.40,9.50,9.70,9.00,8.20,7.90,7.40
Paul Casey,Cheltenham,,UK,https://www.weatherbase.com/weather/weather.php3?s=33630&cityname=Gloucester-England,26.00,41.00,41.00,45.00,49.00,55.00,60.00,64.00,68.00,58.00,52.00,46.00,41.00,2.60,1.90,1.70,2.00,2.10,1.80,2.40,2.40,2.30,2.70,2.80,2.50,83.00,78.00,73.00,68.00,67.00,65.00,66.00,66.00,69.00,77.00,83.00,85.00,10.60,10.60,11.20,10.60,10.00,9.30,9.30,8.70,8.70,9.30,8.70,8.70
Bubba Watson,Bagdad,Flordia,USA,https://www.weatherbase.com/weather/weather.php3?s=122227&cityname=Pensacola-Florida-United-States-of-America,34.00,51.00,55.00,60.00,67.00,75.00,81.00,82.00,82.00,78.00,70.00,61.00,54.00,4.60,5.10,5.80,4.30,4.20,6.60,7.40,6.80,6.00,5.20,4.70,4.60,73.60,72.70,71.80,73.10,73.80,75.80,77.80,78.60,75.70,73.60,73.00,74.90,8.80,9.00,9.30,9.30,8.50,7.40,6.80,6.50,7.10,7.60,8.00,8.40
Gary Woodland,Topeka,Kansas,USA,https://www.weatherbase.com/weather/weather.php3?s=65427&cityname=Topeka-Kansas-United-States-of-America,267.00,30.00,34.00,45.00,55.00,65.00,74.00,79.00,77.00,68.00,57.00,44.00,32.00,0.09,1.30,2.50,3.50,4.90,5.40,3.80,4.20,3.70,3.00,1.90,1.40,78.00,79.00,79.00,80.00,85.00,87.00,86.00,87.00,87.00,83.00,80.00,80.00,8.40,8.60,9.90,10.10,8.70,7.90,7.10,6.50,7.20,7.80,8.50,8.20
Marc Leishman,Warrnambool,Victoria,Australia,https://www.weatherbase.com/weather/weather.php3?s=23849&cityname=Warrnambool-Victoria-Australia,74.00,62.00,63.00,62.00,58.00,54.00,50.00,48.00,50.00,52.00,54.00,58.00,60.00,2.20,1.40,2.60,2.50,3.10,4.50,4.00,4.30,4.10,3.30,2.50,2.70,89.25,89.25,87.00,87.00,91.00,92.00,91.00,90.00,88.00,88.00,89.25,89.25,10.50,10.50,10.00,8.00,10.00,10.00,11.00,12.00,11.00,12.00,10.50,10.50
Cameron Smith,Brisbane,,Australia,https://www.weatherbase.com/weather/weather.php3?s=87549&cityname=Brisbane-Queensland-Australia,3.00,77.00,77.00,75.00,71.00,66.00,61.00,59.00,61.00,65.00,70.00,73.00,76.00,6.50,6.70,5.60,3.70,3.40,3.00,2.60,1.70,1.30,3.90,3.80,4.90,75.00,75.00,75.00,75.00,75.00,75.00,70.00,65.00,70.00,70.00,70.00,75.00,11.00,11.00,6.00,5.00,6.00,6.00,6.00,6.00,6.00,11.00,11.00,10.00
